SIM G1 G2 G3 G4 G5 G6 G7 G8 G9 G10
SIM355 GCF_003313565.1_cds_from_genomic.fna.gz GCF_003425585.1_cds_from_genomic.fna.gz GCF_001185245.1_cds_from_genomic.fna.gz GCF_012166915.1_cds_from_genomic.fna.gz GCF_009664615.1_cds_from_genomic.fna.gz GCF_003425915.1_cds_from_genomic.fna.gz GCF_003004155.1_cds_from_genomic.fna.gz GCF_002356355.1_cds_from_genomic.fna.gz GCF_001190885.1_cds_from_genomic.fna.gz GCF_001901165.1_cds_from_genomic.fna.gz
SIM356 GCF_008727335.1_cds_from_genomic.fna.gz GCF_002214725.1_cds_from_genomic.fna.gz GCF_011801475.1_cds_from_genomic.fna.gz GCF_003666465.1_cds_from_genomic.fna.gz GCF_000007245.1_cds_from_genomic.fna.gz GCF_002761135.1_cds_from_genomic.fna.gz GCF_002073575.2_cds_from_genomic.fna.gz GCF_006401635.1_cds_from_genomic.fna.gz GCF_000572125.1_cds_from_genomic.fna.gz GCF_008926085.1_cds_from_genomic.fna.gz
SIM357 GCF_001999145.1_cds_from_genomic.fna.gz GCF_003691445.1_cds_from_genomic.fna.gz GCF_000801205.1_cds_from_genomic.fna.gz GCF_000307795.1_cds_from_genomic.fna.gz GCF_000015605.1_cds_from_genomic.fna.gz GCF_002951635.1_cds_from_genomic.fna.gz GCF_003717815.1_cds_from_genomic.fna.gz GCF_009740145.1_cds_from_genomic.fna.gz GCF_008824125.1_cds_from_genomic.fna.gz GCF_002761495.1_cds_from_genomic.fna.gz
SIM358 GCF_011464075.1_cds_from_genomic.fna.gz GCF_005221585.1_cds_from_genomic.fna.gz GCF_003031425.1_cds_from_genomic.fna.gz GCF_002447115.1_cds_from_genomic.fna.gz GCF_002263015.1_cds_from_genomic.fna.gz GCF_002899535.1_cds_from_genomic.fna.gz GCF_012273595.1_cds_from_genomic.fna.gz GCF_006974165.1_cds_from_genomic.fna.gz GCF_009720485.1_cds_from_genomic.fna.gz GCF_000624055.2_cds_from_genomic.fna.gz
SIM359 GCF_001623765.2_cds_from_genomic.fna.gz GCF_001620205.2_cds_from_genomic.fna.gz GCF_003390475.1_cds_from_genomic.fna.gz GCF_002946135.1_cds_from_genomic.fna.gz GCF_001005925.2_cds_from_genomic.fna.gz GCF_001296985.1_cds_from_genomic.fna.gz GCF_000245515.1_cds_from_genomic.fna.gz GCF_006351865.1_cds_from_genomic.fna.gz GCF_900474825.1_cds_from_genomic.fna.gz GCF_000271985.2_cds_from_genomic.fna.gz
SIM360 GCF_000335875.2_cds_from_genomic.fna.gz GCF_001274615.1_cds_from_genomic.fna.gz GCF_002952695.1_cds_from_genomic.fna.gz GCF_000963815.1_cds_from_genomic.fna.gz GCF_000988525.3_cds_from_genomic.fna.gz GCF_004194605.3_cds_from_genomic.fna.gz GCF_004208595.1_cds_from_genomic.fna.gz GCF_900236365.1_cds_from_genomic.fna.gz GCF_002180075.1_cds_from_genomic.fna.gz GCF_002995555.1_cds_from_genomic.fna.gz
SIM361 GCF_003354925.1_cds_from_genomic.fna.gz GCF_002948565.1_cds_from_genomic.fna.gz GCF_003570765.1_cds_from_genomic.fna.gz GCF_003264775.1_cds_from_genomic.fna.gz GCF_001506185.1_cds_from_genomic.fna.gz GCF_000277265.1_cds_from_genomic.fna.gz GCF_900639725.1_cds_from_genomic.fna.gz GCF_005890175.1_cds_from_genomic.fna.gz GCF_003856695.1_cds_from_genomic.fna.gz GCF_002754115.1_cds_from_genomic.fna.gz
SIM362 GCF_001697485.1_cds_from_genomic.fna.gz GCF_003711065.1_cds_from_genomic.fna.gz GCF_002213785.1_cds_from_genomic.fna.gz GCF_002220695.1_cds_from_genomic.fna.gz GCF_002843665.1_cds_from_genomic.fna.gz GCF_900475535.1_cds_from_genomic.fna.gz GCF_001549875.1_cds_from_genomic.fna.gz GCF_010365385.1_cds_from_genomic.fna.gz GCF_005305005.1_cds_from_genomic.fna.gz GCF_001753365.1_cds_from_genomic.fna.gz
SIM363 GCF_003345235.1_cds_from_genomic.fna.gz GCF_000750395.2_cds_from_genomic.fna.gz GCF_003204465.1_cds_from_genomic.fna.gz GCF_001885195.1_cds_from_genomic.fna.gz GCF_003003515.1_cds_from_genomic.fna.gz GCF_003063785.1_cds_from_genomic.fna.gz GCF_002355355.1_cds_from_genomic.fna.gz GCF_004154205.1_cds_from_genomic.fna.gz GCF_001999145.1_cds_from_genomic.fna.gz GCF_001854365.1_cds_from_genomic.fna.gz
SIM364 GCF_009363815.1_cds_from_genomic.fna.gz GCF_009762415.1_cds_from_genomic.fna.gz GCF_001690005.1_cds_from_genomic.fna.gz GCF_003640565.1_cds_from_genomic.fna.gz GCF_001900495.1_cds_from_genomic.fna.gz GCF_001692675.1_cds_from_genomic.fna.gz GCF_003429425.1_cds_from_genomic.fna.gz GCF_012935065.1_cds_from_genomic.fna.gz GCF_003354605.1_cds_from_genomic.fna.gz GCF_900636625.1_cds_from_genomic.fna.gz
SIM365 GCF_002118095.1_cds_from_genomic.fna.gz GCF_003515525.1_cds_from_genomic.fna.gz GCF_011290445.1_cds_from_genomic.fna.gz GCF_002850395.1_cds_from_genomic.fna.gz GCF_900176185.1_cds_from_genomic.fna.gz GCF_003351925.1_cds_from_genomic.fna.gz GCF_002180095.1_cds_from_genomic.fna.gz GCF_003665415.1_cds_from_genomic.fna.gz GCF_003184985.1_cds_from_genomic.fna.gz GCF_009912155.1_cds_from_genomic.fna.gz
SIM366 GCF_000568475.1_cds_from_genomic.fna.gz GCF_002269195.1_cds_from_genomic.fna.gz GCF_007954765.1_cds_from_genomic.fna.gz GCF_009627495.1_cds_from_genomic.fna.gz GCF_004847005.1_cds_from_genomic.fna.gz GCF_006165225.1_cds_from_genomic.fna.gz GCF_002760915.1_cds_from_genomic.fna.gz GCF_009763025.1_cds_from_genomic.fna.gz GCF_001554095.1_cds_from_genomic.fna.gz GCF_003020005.1_cds_from_genomic.fna.gz
SIM367 GCF_003061265.1_cds_from_genomic.fna.gz GCF_001577325.1_cds_from_genomic.fna.gz GCF_003718615.1_cds_from_genomic.fna.gz GCF_009806615.1_cds_from_genomic.fna.gz GCF_002240455.1_cds_from_genomic.fna.gz GCF_009912335.1_cds_from_genomic.fna.gz GCF_000832465.1_cds_from_genomic.fna.gz GCF_005237295.1_cds_from_genomic.fna.gz GCF_002000785.1_cds_from_genomic.fna.gz GCF_001578435.2_cds_from_genomic.fna.gz
SIM368 GCF_004153965.1_cds_from_genomic.fna.gz GCF_001618365.1_cds_from_genomic.fna.gz GCF_000027125.1_cds_from_genomic.fna.gz GCF_009909345.1_cds_from_genomic.fna.gz GCF_002753015.1_cds_from_genomic.fna.gz GCF_000218265.1_cds_from_genomic.fna.gz GCF_001456195.1_cds_from_genomic.fna.gz GCF_003096175.1_cds_from_genomic.fna.gz GCF_000953375.1_cds_from_genomic.fna.gz GCF_008313815.1_cds_from_genomic.fna.gz
SIM369 GCF_000013045.1_cds_from_genomic.fna.gz GCF_000834355.1_cds_from_genomic.fna.gz GCF_900475155.1_cds_from_genomic.fna.gz GCF_000740965.1_cds_from_genomic.fna.gz GCF_003149715.1_cds_from_genomic.fna.gz GCF_001660525.1_cds_from_genomic.fna.gz GCF_004119695.1_cds_from_genomic.fna.gz GCF_002074135.1_cds_from_genomic.fna.gz GCF_002346165.1_cds_from_genomic.fna.gz GCF_011456075.1_cds_from_genomic.fna.gz
SIM370 GCF_000750295.1_cds_from_genomic.fna.gz GCF_003071425.1_cds_from_genomic.fna.gz GCF_902381645.1_cds_from_genomic.fna.gz GCF_003324875.1_cds_from_genomic.fna.gz GCF_001721725.1_cds_from_genomic.fna.gz GCF_003717635.1_cds_from_genomic.fna.gz GCF_011290445.1_cds_from_genomic.fna.gz GCF_003354685.1_cds_from_genomic.fna.gz GCF_003193965.1_cds_from_genomic.fna.gz GCF_000827935.1_cds_from_genomic.fna.gz
SIM371 GCF_002128265.1_cds_from_genomic.fna.gz GCF_001578145.1_cds_from_genomic.fna.gz GCF_000597845.1_cds_from_genomic.fna.gz GCF_003482125.1_cds_from_genomic.fna.gz GCF_003856755.1_cds_from_genomic.fna.gz GCF_900149285.1_cds_from_genomic.fna.gz GCF_900619605.1_cds_from_genomic.fna.gz GCF_001685375.1_cds_from_genomic.fna.gz GCF_001750885.1_cds_from_genomic.fna.gz GCF_000213135.1_cds_from_genomic.fna.gz
SIM372 GCF_000154605.2_cds_from_genomic.fna.gz GCF_000009245.1_cds_from_genomic.fna.gz GCF_900474915.1_cds_from_genomic.fna.gz GCF_002752955.1_cds_from_genomic.fna.gz GCF_000226275.2_cds_from_genomic.fna.gz GCF_001721145.1_cds_from_genomic.fna.gz GCF_002895125.1_cds_from_genomic.fna.gz GCF_002202215.1_cds_from_genomic.fna.gz GCF_007833875.1_cds_from_genomic.fna.gz GCF_002761095.1_cds_from_genomic.fna.gz
SIM373 GCF_003855435.1_cds_from_genomic.fna.gz GCF_004792555.1_cds_from_genomic.fna.gz GCF_900693055.1_cds_from_genomic.fna.gz GCF_004768665.1_cds_from_genomic.fna.gz GCF_000834755.1_cds_from_genomic.fna.gz GCF_900478215.1_cds_from_genomic.fna.gz GCF_001697665.1_cds_from_genomic.fna.gz GCF_000981785.2_cds_from_genomic.fna.gz GCF_000022765.1_cds_from_genomic.fna.gz GCF_003816035.1_cds_from_genomic.fna.gz
SIM374 GCF_004919465.1_cds_from_genomic.fna.gz GCF_002156825.1_cds_from_genomic.fna.gz GCF_000626235.1_cds_from_genomic.fna.gz GCF_009913275.1_cds_from_genomic.fna.gz GCF_001572745.1_cds_from_genomic.fna.gz GCF_011765545.1_cds_from_genomic.fna.gz GCF_002881775.1_cds_from_genomic.fna.gz GCF_002944995.1_cds_from_genomic.fna.gz GCF_003324715.1_cds_from_genomic.fna.gz GCF_003798105.1_cds_from_genomic.fna.gz
SIM375 GCF_003666425.1_cds_from_genomic.fna.gz GCF_007430945.1_cds_from_genomic.fna.gz GCF_003966445.1_cds_from_genomic.fna.gz GCF_000292455.1_cds_from_genomic.fna.gz GCF_000363905.1_cds_from_genomic.fna.gz GCF_002214125.1_cds_from_genomic.fna.gz GCF_003432305.1_cds_from_genomic.fna.gz GCF_000750315.1_cds_from_genomic.fna.gz GCF_002085605.1_cds_from_genomic.fna.gz GCF_011604785.1_cds_from_genomic.fna.gz
SIM376 GCF_000959625.1_cds_from_genomic.fna.gz GCF_002952875.1_cds_from_genomic.fna.gz GCF_000148665.1_cds_from_genomic.fna.gz GCF_008033725.1_cds_from_genomic.fna.gz GCF_000953575.1_cds_from_genomic.fna.gz GCF_003595445.1_cds_from_genomic.fna.gz GCF_009912495.1_cds_from_genomic.fna.gz GCF_004785995.1_cds_from_genomic.fna.gz GCF_900166885.1_cds_from_genomic.fna.gz GCF_000165465.1_cds_from_genomic.fna.gz
SIM377 GCF_000009665.1_cds_from_genomic.fna.gz GCF_900324365.1_cds_from_genomic.fna.gz GCF_001753545.1_cds_from_genomic.fna.gz GCF_000224435.1_cds_from_genomic.fna.gz GCF_009720465.1_cds_from_genomic.fna.gz GCF_004120075.1_cds_from_genomic.fna.gz GCF_005221605.1_cds_from_genomic.fna.gz GCF_001693255.1_cds_from_genomic.fna.gz GCF_004120175.1_cds_from_genomic.fna.gz GCF_012934675.1_cds_from_genomic.fna.gz
SIM378 GCF_003482125.1_cds_from_genomic.fna.gz GCF_004332555.2_cds_from_genomic.fna.gz GCF_000834235.1_cds_from_genomic.fna.gz GCF_012593885.1_cds_from_genomic.fna.gz GCF_004194605.3_cds_from_genomic.fna.gz GCF_001683065.1_cds_from_genomic.fna.gz GCF_012167215.1_cds_from_genomic.fna.gz GCF_003061385.1_cds_from_genomic.fna.gz GCF_001956735.1_cds_from_genomic.fna.gz GCF_000188215.1_cds_from_genomic.fna.gz
SIM379 GCF_002966715.1_cds_from_genomic.fna.gz GCF_000832385.1_cds_from_genomic.fna.gz GCF_001275565.2_cds_from_genomic.fna.gz GCF_002148215.1_cds_from_genomic.fna.gz GCF_900475525.1_cds_from_genomic.fna.gz GCF_000277385.1_cds_from_genomic.fna.gz GCF_002447715.1_cds_from_genomic.fna.gz GCF_004001185.1_cds_from_genomic.fna.gz GCF_003852315.1_cds_from_genomic.fna.gz GCF_900636755.1_cds_from_genomic.fna.gz
SIM380 GCF_009002535.1_cds_from_genomic.fna.gz GCF_000828035.1_cds_from_genomic.fna.gz GCF_009856605.1_cds_from_genomic.fna.gz GCF_000011945.1_cds_from_genomic.fna.gz GCF_009883895.1_cds_from_genomic.fna.gz GCF_004322955.1_cds_from_genomic.fna.gz GCF_000154605.2_cds_from_genomic.fna.gz GCF_003812785.1_cds_from_genomic.fna.gz GCF_000304355.2_cds_from_genomic.fna.gz GCF_004136035.1_cds_from_genomic.fna.gz
SIM381 GCF_000988395.1_cds_from_genomic.fna.gz GCF_000828595.1_cds_from_genomic.fna.gz GCF_900324405.1_cds_from_genomic.fna.gz GCF_000148915.1_cds_from_genomic.fna.gz GCF_001887985.3_cds_from_genomic.fna.gz GCF_000392515.3_cds_from_genomic.fna.gz GCF_001683175.1_cds_from_genomic.fna.gz GCF_900635105.1_cds_from_genomic.fna.gz GCF_000008225.1_cds_from_genomic.fna.gz GCF_001901145.1_cds_from_genomic.fna.gz
SIM382 GCF_000196095.1_cds_from_genomic.fna.gz GCF_004328745.1_cds_from_genomic.fna.gz GCF_001183725.2_cds_from_genomic.fna.gz GCF_003031815.1_cds_from_genomic.fna.gz GCF_005221425.1_cds_from_genomic.fna.gz GCF_000015465.1_cds_from_genomic.fna.gz GCF_000974865.1_cds_from_genomic.fna.gz GCF_009949145.1_cds_from_genomic.fna.gz GCF_001975365.1_cds_from_genomic.fna.gz GCF_000023165.1_cds_from_genomic.fna.gz
SIM383 GCF_006165245.1_cds_from_genomic.fna.gz GCF_001704315.1_cds_from_genomic.fna.gz GCF_003717955.1_cds_from_genomic.fna.gz GCF_002587005.1_cds_from_genomic.fna.gz GCF_000023805.1_cds_from_genomic.fna.gz GCF_005164885.1_cds_from_genomic.fna.gz GCF_011383085.1_cds_from_genomic.fna.gz GCF_000284575.1_cds_from_genomic.fna.gz GCF_001635915.1_cds_from_genomic.fna.gz GCF_001900575.1_cds_from_genomic.fna.gz
SIM384 GCF_000318785.1_cds_from_genomic.fna.gz GCF_001272895.1_cds_from_genomic.fna.gz GCF_003515365.1_cds_from_genomic.fna.gz GCF_010917675.1_cds_from_genomic.fna.gz GCF_001007085.1_cds_from_genomic.fna.gz GCF_000756145.1_cds_from_genomic.fna.gz GCF_000612325.1_cds_from_genomic.fna.gz GCF_004295405.1_cds_from_genomic.fna.gz GCF_002763995.1_cds_from_genomic.fna.gz GCF_002164975.2_cds_from_genomic.fna.gz
SIM385 GCF_000807315.1_cds_from_genomic.fna.gz GCF_002946555.2_cds_from_genomic.fna.gz GCF_000623735.2_cds_from_genomic.fna.gz GCF_003264775.1_cds_from_genomic.fna.gz GCF_007726465.1_cds_from_genomic.fna.gz GCF_002356575.1_cds_from_genomic.fna.gz GCF_000430405.1_cds_from_genomic.fna.gz GCF_012044215.1_cds_from_genomic.fna.gz GCF_011067065.1_cds_from_genomic.fna.gz GCF_002968495.1_cds_from_genomic.fna.gz
SIM386 GCF_008124205.1_cds_from_genomic.fna.gz GCF_002886195.1_cds_from_genomic.fna.gz GCF_000338715.2_cds_from_genomic.fna.gz GCF_003851705.1_cds_from_genomic.fna.gz GCF_000006765.1_cds_from_genomic.fna.gz GCF_002893805.1_cds_from_genomic.fna.gz GCF_000755785.1_cds_from_genomic.fna.gz GCF_900323965.1_cds_from_genomic.fna.gz GCF_002197045.1_cds_from_genomic.fna.gz GCF_011045235.1_cds_from_genomic.fna.gz
SIM387 GCF_002357955.1_cds_from_genomic.fna.gz GCF_006338815.1_cds_from_genomic.fna.gz GCF_007005625.1_cds_from_genomic.fna.gz GCF_000239195.1_cds_from_genomic.fna.gz GCF_004063735.1_cds_from_genomic.fna.gz GCF_010586985.1_cds_from_genomic.fna.gz GCF_002968655.1_cds_from_genomic.fna.gz GCF_001276975.2_cds_from_genomic.fna.gz GCF_000015625.1_cds_from_genomic.fna.gz GCF_000953515.1_cds_from_genomic.fna.gz
SIM388 GCF_002983705.1_cds_from_genomic.fna.gz GCF_000328405.1_cds_from_genomic.fna.gz GCF_000210155.1_cds_from_genomic.fna.gz GCF_002286255.1_cds_from_genomic.fna.gz GCF_009650035.1_cds_from_genomic.fna.gz GCF_004792635.1_cds_from_genomic.fna.gz GCF_002953015.1_cds_from_genomic.fna.gz GCF_000756125.1_cds_from_genomic.fna.gz GCF_006517155.1_cds_from_genomic.fna.gz GCF_010586925.1_cds_from_genomic.fna.gz
SIM389 GCF_009930895.1_cds_from_genomic.fna.gz GCF_002077195.1_cds_from_genomic.fna.gz GCF_000623195.2_cds_from_genomic.fna.gz GCF_000623295.1_cds_from_genomic.fna.gz GCF_008065455.1_cds_from_genomic.fna.gz GCF_004772215.1_cds_from_genomic.fna.gz GCF_003627355.1_cds_from_genomic.fna.gz GCF_003345315.1_cds_from_genomic.fna.gz GCF_004010895.1_cds_from_genomic.fna.gz GCF_001890265.1_cds_from_genomic.fna.gz
SIM390 GCF_003018235.1_cds_from_genomic.fna.gz GCF_003718375.1_cds_from_genomic.fna.gz GCF_003047125.1_cds_from_genomic.fna.gz GCF_002111085.1_cds_from_genomic.fna.gz GCF_000009245.1_cds_from_genomic.fna.gz GCF_000319675.2_cds_from_genomic.fna.gz GCF_001865615.1_cds_from_genomic.fna.gz GCF_000512185.1_cds_from_genomic.fna.gz GCF_004135855.1_cds_from_genomic.fna.gz GCF_005305005.1_cds_from_genomic.fna.gz
SIM391 GCF_002059225.1_cds_from_genomic.fna.gz GCF_001901025.1_cds_from_genomic.fna.gz GCF_009884355.1_cds_from_genomic.fna.gz GCF_001577325.1_cds_from_genomic.fna.gz GCF_003186125.1_cds_from_genomic.fna.gz GCF_900474845.1_cds_from_genomic.fna.gz GCF_001127485.2_cds_from_genomic.fna.gz GCF_002850215.1_cds_from_genomic.fna.gz GCF_012050205.1_cds_from_genomic.fna.gz GCF_001554115.1_cds_from_genomic.fna.gz
SIM392 GCF_000834945.1_cds_from_genomic.fna.gz GCF_005222405.1_cds_from_genomic.fna.gz GCF_002073675.2_cds_from_genomic.fna.gz GCF_009914155.1_cds_from_genomic.fna.gz GCF_010669265.1_cds_from_genomic.fna.gz GCF_003719255.1_cds_from_genomic.fna.gz GCF_004120015.1_cds_from_genomic.fna.gz GCF_000828935.1_cds_from_genomic.fna.gz GCF_003570765.1_cds_from_genomic.fna.gz GCF_001890205.1_cds_from_genomic.fna.gz
SIM393 GCF_004193935.1_cds_from_genomic.fna.gz GCF_003956405.1_cds_from_genomic.fna.gz GCF_002752995.1_cds_from_genomic.fna.gz GCF_003073495.1_cds_from_genomic.fna.gz GCF_003425485.1_cds_from_genomic.fna.gz GCF_900324445.1_cds_from_genomic.fna.gz GCF_001007045.1_cds_from_genomic.fna.gz GCF_003856675.1_cds_from_genomic.fna.gz GCF_000019585.2_cds_from_genomic.fna.gz GCF_001887495.1_cds_from_genomic.fna.gz
SIM394 GCF_001611365.1_cds_from_genomic.fna.gz GCF_001506985.1_cds_from_genomic.fna.gz GCF_003204335.1_cds_from_genomic.fna.gz GCF_001752965.1_cds_from_genomic.fna.gz GCF_001663095.1_cds_from_genomic.fna.gz GCF_000014025.1_cds_from_genomic.fna.gz GCF_000755865.1_cds_from_genomic.fna.gz GCF_008244825.1_cds_from_genomic.fna.gz GCF_003589845.1_cds_from_genomic.fna.gz GCF_003017145.1_cds_from_genomic.fna.gz
SIM395 GCF_001506245.1_cds_from_genomic.fna.gz GCF_002257505.1_cds_from_genomic.fna.gz GCF_000967155.2_cds_from_genomic.fna.gz GCF_900635185.1_cds_from_genomic.fna.gz GCF_004154385.1_cds_from_genomic.fna.gz GCF_003851745.1_cds_from_genomic.fna.gz GCF_002180095.1_cds_from_genomic.fna.gz GCF_000238455.2_cds_from_genomic.fna.gz GCF_009944725.1_cds_from_genomic.fna.gz GCF_000284355.1_cds_from_genomic.fna.gz
SIM396 GCF_001750845.1_cds_from_genomic.fna.gz GCF_001683095.1_cds_from_genomic.fna.gz GCF_005671355.1_cds_from_genomic.fna.gz GCF_003193645.1_cds_from_genomic.fna.gz GCF_001887515.1_cds_from_genomic.fna.gz GCF_000197875.1_cds_from_genomic.fna.gz GCF_900205735.1_cds_from_genomic.fna.gz GCF_002752995.1_cds_from_genomic.fna.gz GCF_001042875.1_cds_from_genomic.fna.gz GCF_009936175.1_cds_from_genomic.fna.gz
SIM397 GCF_001746615.1_cds_from_genomic.fna.gz GCF_002220345.1_cds_from_genomic.fna.gz GCF_000600015.1_cds_from_genomic.fna.gz GCF_001021635.2_cds_from_genomic.fna.gz GCF_002214705.1_cds_from_genomic.fna.gz GCF_002220175.1_cds_from_genomic.fna.gz GCF_008370755.1_cds_from_genomic.fna.gz GCF_004124275.1_cds_from_genomic.fna.gz GCF_002945945.1_cds_from_genomic.fna.gz GCF_002090355.1_cds_from_genomic.fna.gz
SIM398 GCF_003031485.1_cds_from_genomic.fna.gz GCF_000019825.1_cds_from_genomic.fna.gz GCF_004355825.1_cds_from_genomic.fna.gz GCF_001018805.1_cds_from_genomic.fna.gz GCF_002591135.1_cds_from_genomic.fna.gz GCF_002447715.1_cds_from_genomic.fna.gz GCF_003290365.1_cds_from_genomic.fna.gz GCF_003718115.1_cds_from_genomic.fna.gz GCF_004355745.1_cds_from_genomic.fna.gz GCF_008728315.1_cds_from_genomic.fna.gz
SIM399 GCF_012221565.1_cds_from_genomic.fna.gz GCF_000816165.1_cds_from_genomic.fna.gz GCF_002948655.1_cds_from_genomic.fna.gz GCF_000521565.1_cds_from_genomic.fna.gz GCF_012272775.1_cds_from_genomic.fna.gz GCF_000604125.1_cds_from_genomic.fna.gz GCF_007794935.1_cds_from_genomic.fna.gz GCF_009912955.1_cds_from_genomic.fna.gz GCF_000008745.1_cds_from_genomic.fna.gz GCF_009755705.1_cds_from_genomic.fna.gz
SIM400 GCF_000012525.1_cds_from_genomic.fna.gz GCF_000272755.4_cds_from_genomic.fna.gz GCF_900475925.1_cds_from_genomic.fna.gz GCF_000833105.2_cds_from_genomic.fna.gz GCF_003325115.1_cds_from_genomic.fna.gz GCF_001507065.1_cds_from_genomic.fna.gz GCF_003490125.1_cds_from_genomic.fna.gz GCF_011068365.1_cds_from_genomic.fna.gz GCF_001552035.1_cds_from_genomic.fna.gz GCF_001721905.1_cds_from_genomic.fna.gz
SIM401 GCF_001936195.1_cds_from_genomic.fna.gz GCF_002948655.1_cds_from_genomic.fna.gz GCF_001854065.1_cds_from_genomic.fna.gz GCF_001975125.1_cds_from_genomic.fna.gz GCF_000512395.1_cds_from_genomic.fna.gz GCF_000191905.1_cds_from_genomic.fna.gz GCF_000513655.1_cds_from_genomic.fna.gz GCF_001717975.2_cds_from_genomic.fna.gz GCF_002996665.1_cds_from_genomic.fna.gz GCF_001542835.1_cds_from_genomic.fna.gz
SIM402 GCF_003718575.1_cds_from_genomic.fna.gz GCF_000981825.1_cds_from_genomic.fna.gz GCF_000023165.1_cds_from_genomic.fna.gz GCF_000392475.3_cds_from_genomic.fna.gz GCF_001655175.1_cds_from_genomic.fna.gz GCF_000178935.2_cds_from_genomic.fna.gz GCF_001455385.1_cds_from_genomic.fna.gz GCF_003856755.1_cds_from_genomic.fna.gz GCF_002633865.1_cds_from_genomic.fna.gz GCF_900120255.1_cds_from_genomic.fna.gz
SIM403 GCF_000418305.1_cds_from_genomic.fna.gz GCF_001922465.1_cds_from_genomic.fna.gz GCF_001506225.1_cds_from_genomic.fna.gz GCF_009944075.1_cds_from_genomic.fna.gz GCF_000959225.1_cds_from_genomic.fna.gz GCF_000320385.2_cds_from_genomic.fna.gz GCF_002859545.1_cds_from_genomic.fna.gz GCF_000319675.2_cds_from_genomic.fna.gz GCF_003355135.1_cds_from_genomic.fna.gz GCF_011066505.1_cds_from_genomic.fna.gz
SIM404 GCF_000953375.1_cds_from_genomic.fna.gz GCF_900475525.1_cds_from_genomic.fna.gz GCF_000020705.1_cds_from_genomic.fna.gz GCF_006337145.1_cds_from_genomic.fna.gz GCF_000483715.2_cds_from_genomic.fna.gz GCF_009739575.1_cds_from_genomic.fna.gz GCF_001296085.1_cds_from_genomic.fna.gz GCF_003717115.1_cds_from_genomic.fna.gz GCF_005671355.1_cds_from_genomic.fna.gz GCF_006766145.1_cds_from_genomic.fna.gz
SIM405 GCF_008931805.1_cds_from_genomic.fna.gz GCF_001746735.1_cds_from_genomic.fna.gz GCF_003432405.1_cds_from_genomic.fna.gz GCF_001514375.1_cds_from_genomic.fna.gz GCF_000299475.1_cds_from_genomic.fna.gz GCF_005037775.1_cds_from_genomic.fna.gz GCF_004006115.1_cds_from_genomic.fna.gz GCF_900639345.1_cds_from_genomic.fna.gz GCF_000018925.1_cds_from_genomic.fna.gz GCF_001901065.1_cds_from_genomic.fna.gz
SIM406 GCF_000478255.1_cds_from_genomic.fna.gz GCF_002089115.2_cds_from_genomic.fna.gz GCF_008033255.1_cds_from_genomic.fna.gz GCF_001021875.1_cds_from_genomic.fna.gz GCF_009913035.1_cds_from_genomic.fna.gz GCF_000015525.1_cds_from_genomic.fna.gz GCF_002209405.1_cds_from_genomic.fna.gz GCF_003354645.1_cds_from_genomic.fna.gz GCF_000626235.1_cds_from_genomic.fna.gz GCF_003667925.1_cds_from_genomic.fna.gz
SIM407 GCF_001576595.1_cds_from_genomic.fna.gz GCF_002761375.1_cds_from_genomic.fna.gz GCF_002173715.1_cds_from_genomic.fna.gz GCF_003193785.1_cds_from_genomic.fna.gz GCF_003111725.1_cds_from_genomic.fna.gz GCF_000756025.1_cds_from_genomic.fna.gz GCF_006385075.1_cds_from_genomic.fna.gz GCF_000054005.1_cds_from_genomic.fna.gz GCF_000237065.1_cds_from_genomic.fna.gz GCF_005484525.1_cds_from_genomic.fna.gz
SIM408 GCF_003347055.1_cds_from_genomic.fna.gz GCF_006711525.1_cds_from_genomic.fna.gz GCF_003856655.1_cds_from_genomic.fna.gz GCF_002090275.1_cds_from_genomic.fna.gz GCF_001642675.1_cds_from_genomic.fna.gz GCF_004136075.1_cds_from_genomic.fna.gz GCF_900637215.1_cds_from_genomic.fna.gz GCF_001534785.1_cds_from_genomic.fna.gz GCF_009939805.1_cds_from_genomic.fna.gz GCF_000499485.1_cds_from_genomic.fna.gz
SIM409 GCF_900538065.1_cds_from_genomic.fna.gz GCF_001250235.2_cds_from_genomic.fna.gz GCF_000143865.1_cds_from_genomic.fna.gz GCF_008693685.1_cds_from_genomic.fna.gz GCF_902381645.1_cds_from_genomic.fna.gz GCF_900637245.1_cds_from_genomic.fna.gz GCF_000750395.2_cds_from_genomic.fna.gz GCF_012934815.1_cds_from_genomic.fna.gz GCF_006165285.1_cds_from_genomic.fna.gz GCF_000400875.1_cds_from_genomic.fna.gz
SIM410 GCF_001703535.1_cds_from_genomic.fna.gz GCF_002850215.1_cds_from_genomic.fna.gz GCF_000550745.1_cds_from_genomic.fna.gz GCF_900475465.1_cds_from_genomic.fna.gz GCF_902723705.1_cds_from_genomic.fna.gz GCF_004136075.1_cds_from_genomic.fna.gz GCF_004135755.1_cds_from_genomic.fna.gz GCF_001999025.1_cds_from_genomic.fna.gz GCF_002859385.1_cds_from_genomic.fna.gz GCF_005517315.1_cds_from_genomic.fna.gz
